EventType,Timestamp,DeviceID,User  ID,Details,Value
1,ВходПользователя,2023-10-01 10:04:21,Банкомат48,Пользователь28,Пользователь Пользователь28 вошел в систему в Банкомат48,
2,ЗажеваннаяКупюра,2023-10-01 10:05:16,Банкомат76,Пользователь33,Купюра зажевана в Банкомат76,1000
3,Предупреждение,2023-10-01 10:05:59,Банкомат24,Пользователь80,Предупреждение в Банкомат24,Низкий уровень наличных
4,ПроверкаСостоянияКлавиатуры,2023-10-01 10:07:38,Банкомат54,Пользователь93,Проверка состояния клавиатуры в Банкомат54,Клавиатура не работает
5,ЗагрузкаПроцессораВысокая,2023-10-01 10:11:11,Банкомат9,Пользователь37,Высокая загрузка процессора в Банкомат9,87
6,ПроверкаСостоянияКарт,2023-10-01 10:15:18,Банкомат43,Пользователь71,Проверка состояния карт в Банкомат43,Все карты в порядке
7,ОшибкаОбновления,2023-10-01 10:18:05,Банкомат75,Пользователь100,Ошибка обновления в Банкомат75,Ошибка сети
8,ПроверкаЭнергоснабжения,2023-10-01 10:22:26,Банкомат13,Пользователь43,Проверка состояния энергоснабжения в Банкомат13,Энергоснабжение в порядке
9,ОшибкаПечати,2023-10-01 10:26:56,Банкомат19,Пользователь92,Ошибка печати в Банкомат19,Нет бумаги
10,ОбновлениеПрограммногоОбеспечения,2023-10-01 10:27:52,Банкомат96,Пользователь91,Обновление ПО в Банкомат96,Не удалось
11,ПроверкаСостоянияКарт,2023-10-01 10:28:45,Банкомат1,Пользователь96,Проверка состояния карт в Банкомат1,Все карты в порядке
12,ОбработкаЗапроса,2023-10-01 10:33:30,Банкомат12,Пользователь17,Обработка запроса пользователя Пользователь17 в Банкомат12,
13,ТестированиеУстройства,2023-10-01 10:33:56,Банкомат72,Пользователь90,Тестирование устройства Банкомат72 завершено,Успешно
14,ОжиданиеПользователя,2023-10-01 10:35:08,Банкомат32,Пользователь73,Ожидание действия от пользователя в Банкомат32,
15,ПроверкаБаланс,2023-10-01 10:35:10,Банкомат57,Пользователь48,Проверка баланса пользователем Пользователь48 в Банкомат57,236
16,ОбработкаЗапроса,2023-10-01 10:39:03,Банкомат35,Пользователь69,Обработка запроса пользователя Пользователь69 в Банкомат35,
17,ПроверкаСостоянияСвязи,2023-10-01 10:41:37,Банкомат6,Пользователь43,Проверка состояния связи в Банкомат6,Хорошее
18,СостояниеУстройстваИзменено,2023-10-01 10:44:53,Банкомат49,Пользователь99,Состояние устройства Банкомат49 изменилось,Закрыто
19,ПроверкаКассеты,2023-10-01 10:47:25,Банкомат56,Пользователь83,Проверка состояния кассеты в Банкомат56,Нуждается в замене
20,ОбновлениеПрограммногоОбеспечения,2023-10-01 10:48:01,Банкомат14,Пользователь86,Обновление ПО в Банкомат14,Не удалось
21,ЗагрузкаПроцессораВысокая,2023-10-01 10:51:53,Банкомат50,Пользователь59,Высокая загрузка процессора в Банкомат50,85
22,СостояниеУстройстваИзменено,2023-10-01 10:54:00,Банкомат4,Пользователь47,Состояние устройства Банкомат4 изменилось,Закрыто
23,ВнесениеНаличных,2023-10-01 10:54:18,Банкомат44,Пользователь17,Пользователь Пользователь17 внес 505 рублей в Банкомат44,505
24,ОбновлениеБезопасности,2023-10-01 10:55:52,Банкомат76,Пользователь75,Обновление систем безопасности в Банкомат76,Успешно
25,ВнесениеНаличных,2023-10-01 11:00:51,Банкомат47,Пользователь35,Пользователь Пользователь35 внес 123 рублей в Банкомат47,123
26,ОшибкаПриемаКупюр,2023-10-01 11:05:25,Банкомат36,Пользователь41,Ошибка приема купюр в Банкомат36,Купюра повреждена
27,ПроверкаКассеты,2023-10-01 11:05:37,Банкомат43,Пользователь30,Проверка состояния кассеты в Банкомат43,Хорошее
28,Предупреждение,2023-10-01 11:06:41,Банкомат33,Пользователь34,Предупреждение в Банкомат33,Низкий уровень наличных
29,ЗажеваннаяКупюра,2023-10-01 11:09:34,Банкомат16,Пользователь52,Купюра зажевана в Банкомат16,500
30,ВходПользователя,2023-10-01 11:11:01,Банкомат3,Пользователь72,Пользователь Пользователь72 вошел в систему в Банкомат3,
31,ЗаменаКассеты,2023-10-01 11:11:43,Банкомат39,Пользователь55,Кассета заменена в Банкомат39,1153
32,ОшибкаКарт,2023-10-01 11:13:25,Банкомат89,Пользователь44,Ошибка при считывании карты в Банкомат89,Карта повреждена
33,ОшибкаВыдачиНаличности,2023-10-01 11:15:27,Банкомат44,Пользователь87,Ошибка выдачи наличности в Банкомат44,Купюры отсутствуют
34,ВосстановлениеСвязи,2023-10-01 11:20:24,Банкомат83,Пользователь63,Связь восстановлена в Банкомат83,
35,ОжиданиеПользователя,2023-10-01 11:20:38,Банкомат60,Пользователь72,Ожидание действия от пользователя в Банкомат60,
36,ОшибкаТехническая,2023-10-01 11:24:18,Банкомат61,Пользователь35,Техническая ошибка в Банкомат61,Ошибка питания
37,ПерезагрузкаУстройства,2023-10-01 11:26:51,Банкомат37,Пользователь32,Устройство Банкомат37 перезагружено,
38,ПроверкаСостоянияСвязи,2023-10-01 11:29:28,Банкомат72,Пользователь98,Проверка состояния связи в Банкомат72,Хорошее
39,СостояниеКартриджа,2023-10-01 11:29:47,Банкомат30,Пользователь46,Состояние картриджа проверено в Банкомат30,Полный
40,ВнесениеНаличных,2023-10-01 11:33:55,Банкомат56,Пользователь72,Пользователь Пользователь72 внес 727 рублей в Банкомат56,727
